,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,ta,2022-07-13,3,0,0,31,23
1,b0rr3g0-blog,2022-07-13,0,0,0,2,1
2,ExpresionesLambdas,2022-07-13,0,0,0,2,1
3,OStest,2022-07-13,0,0,0,2,1
4,Spring-Boot-Vaadin,2022-07-13,0,0,0,2,1
5,websocket-high-availability-front,2022-07-13,0,0,0,2,1
6,zipExample,2022-07-13,0,0,0,2,1
