,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,ta,2022-07-04,3,10,2,152,57
1,Spring-Boot-Jersey,2022-07-04,1,2,2,0,0
2,usermanagement,2022-07-04,0,1,1,1,1
